session_id,session_name,replication_idx,condition,generation,within_generation_idx,started_at,time_spend,expired,replaced,ai_player,simulated_subject,advisor,player_score,move_idx,source_num,target_num,reward,level,correct_repeat,myopic,optimal,large_loss_taken,trial_id,trial_type,solution_total_score
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,0,1,10,100,0,,True,False,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,1,10,11,0,0,,True,False,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,2,11,9,200,0,,True,True,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,3,9,4,200,0,,True,True,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,4,4,1,200,0,,True,False,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,5,1,10,100,0,,True,False,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,6,10,11,0,0,,True,False,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,7,11,9,200,0,,True,True,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,8,9,4,200,0,,True,True,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,9,4,1,200,0,,True,False,False,0,individual,1400
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,0,9,2,0,0,,True,False,False,1,individual,600
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,1,2,3,100,0,,True,False,False,1,individual,600
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,2,3,9,100,0,,True,False,False,1,individual,600
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,3,9,2,0,0,,True,False,False,1,individual,600
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,4,2,3,100,0,,True,False,False,1,individual,600
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,5,3,9,100,0,,True,False,False,1,individual,600
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,6,9,2,0,0,,True,False,False,1,individual,600
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,7,2,3,100,0,,True,False,False,1,individual,600
65bbd8cefa589ac7c2fb00e2,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1725,8,3,9,100,0,,True,False,False,1,individual,600
