,sessionId,isAI,expName,generation,trialIdx,trialType,networkId,score,maxLevelReached,myopic_score,ai_score
0,642bdb6f5b5b9c825f6d8abf,True,rn-iii-pilot-4b,0,,try_yourself,,,,,
1,642bdb6f5b5b9c825f6d8abf,True,rn-iii-pilot-4b,0,0.0,individual,9d7903f67b2fe171f5843d7ad3c9fce6,1450.0,4.0,1300.0,1450.0
2,642bdb6f5b5b9c825f6d8abf,True,rn-iii-pilot-4b,0,1.0,individual,374bc516bdd45055f2bc9c37ed210113,1250.0,4.0,1300.0,1250.0
3,642bdb6f5b5b9c825f6d8abf,True,rn-iii-pilot-4b,0,2.0,individual,1299563582f09584a113bc83104b5bfd,750.0,4.0,400.0,750.0
4,642bdb6f5b5b9c825f6d8abf,True,rn-iii-pilot-4b,0,3.0,individual,18ae60d3fa2b0e0e486d9c732124077c,850.0,4.0,800.0,850.0
5,642bdb6f5b5b9c825f6d8abf,True,rn-iii-pilot-4b,0,4.0,demonstration,5cb65dc7783fdcd893e39ac3e9a0eaad,1050.0,4.0,1100.0,1050.0
6,642bdb6f5b5b9c825f6d8abf,True,rn-iii-pilot-4b,0,5.0,demonstration,f8fa60dab58e7f8d327e920f750c2364,1450.0,4.0,300.0,1450.0
7,642bdb6f5b5b9c825f6d8ac0,True,rn-iii-pilot-4b,0,,try_yourself,,,,,
8,642bdb6f5b5b9c825f6d8ac0,True,rn-iii-pilot-4b,0,0.0,individual,fe519fbb23b822118174bf02d28fb3f6,1250.0,4.0,600.0,1250.0
9,642bdb6f5b5b9c825f6d8ac0,True,rn-iii-pilot-4b,0,1.0,individual,299327e518205831dddb830809f6732b,850.0,4.0,400.0,850.0
10,642bdb6f5b5b9c825f6d8ac0,True,rn-iii-pilot-4b,0,2.0,individual,6cbef37f1bc3e760dad87ed4fdc147b0,1050.0,4.0,700.0,1050.0
11,642bdb6f5b5b9c825f6d8ac0,True,rn-iii-pilot-4b,0,3.0,individual,6a7cdf146718e7cc32ebb4fa73e4062f,1450.0,4.0,400.0,1450.0
12,642bdb6f5b5b9c825f6d8ac0,True,rn-iii-pilot-4b,0,4.0,demonstration,24e9a079fc0c8ec6cbb7b7aa5c4cd9c3,1650.0,4.0,200.0,1650.0
13,642bdb6f5b5b9c825f6d8ac0,True,rn-iii-pilot-4b,0,5.0,demonstration,f5c536ec5cd5617a7098f544fc7cdae0,1250.0,4.0,1200.0,1250.0
