session_id,session_name,replication_idx,condition,generation,within_generation_idx,started_at,time_spend,expired,replaced,ai_player,simulated_subject,advisor,player_score
65b9a05fdb52c954b90e001b,Rep 0 - Gen 0 - w_ai - 0 - AI,0,w_ai,0,0,,PT0S,False,False,True,False,,2062
65b9a05fdb52c954b90e001c,Rep 0 - Gen 0 - w_ai - 1 - AI,0,w_ai,0,1,,PT0S,False,False,True,False,,2650
65b9a05fdb52c954b90e001d,Rep 0 - Gen 0 - w_ai - 2 - AI,0,w_ai,0,2,,PT0S,False,False,True,False,,2212
65b9a05fdb52c954b90e001e,Rep 0 - Gen 0 - None - 3 - Human,0,,0,3,2024-01-31T01:22:39.278000,PT2S,False,False,False,False,,1775
65b9a05fdb52c954b90e001f,Rep 0 - Gen 0 - None - 4 - Human,0,,0,4,2024-01-31T01:22:39.298000,PT2S,False,False,False,False,,1400
65b9a05fdb52c954b90e0020,Rep 0 - Gen 0 - None - 5 - Human,0,,0,5,2024-01-31T01:22:39.287000,PT2S,False,False,False,False,,1200
65b9a05fdb52c954b90e0021,Rep 0 - Gen 0 - None - 6 - Human,0,,0,6,2024-01-31T01:22:39.285000,PT2S,False,False,False,False,,1187
65b9a05fdb52c954b90e0022,Rep 0 - Gen 0 - None - 7 - Human,0,,0,7,2024-01-31T01:22:39.281000,PT2S,False,False,False,False,,1250
65b9a05fdb52c954b90e0023,Rep 0 - Gen 0 - wo_ai - 8 - Human,0,wo_ai,0,8,2024-01-31T01:24:41.619000,PT3S,False,False,False,False,,1137
65b9a05fdb52c954b90e0024,Rep 0 - Gen 0 - wo_ai - 9 - Human,0,wo_ai,0,9,2024-01-31T01:23:40.299000,PT3S,False,False,False,False,,1475
65b9a05fdb52c954b90e0025,Rep 0 - Gen 0 - wo_ai - 10 - Human,0,wo_ai,0,10,2024-01-31T01:24:42.417000,PT4S,False,False,False,False,,1750
65b9a05fdb52c954b90e0026,Rep 0 - Gen 1 - w_ai - 0 - Human,0,w_ai,1,0,2024-01-31T01:22:42.738000,PT9S,False,False,False,False,65b9a05fdb52c954b90e001d,2650
65b9a060db52c954b90e0027,Rep 0 - Gen 1 - w_ai - 1 - Human,0,w_ai,1,1,2024-01-31T01:22:42.628000,PT9S,False,False,False,False,65b9a05fdb52c954b90e001d,2575
65b9a060db52c954b90e0028,Rep 0 - Gen 1 - w_ai - 2 - Human,0,w_ai,1,2,2024-01-31T01:22:42.880000,PT9S,False,False,False,False,65b9a05fdb52c954b90e001c,2650
65b9a060db52c954b90e0029,Rep 0 - Gen 1 - w_ai - 3 - Human,0,w_ai,1,3,2024-01-31T01:22:42.487000,PT10S,False,False,False,False,65b9a05fdb52c954b90e001d,2650
65b9a060db52c954b90e002a,Rep 0 - Gen 1 - w_ai - 4 - Human,0,w_ai,1,4,2024-01-31T01:22:42.969000,PT9S,False,False,False,False,65b9a05fdb52c954b90e001b,2062
