,sessionId,isAI,condition,ExperimentName
0,649d8d61d98de2a0b3c50195,False,Human_lineage,rn-iii-pilot-5a
1,649d8d61d98de2a0b3c50196,False,Human_lineage,rn-iii-pilot-5a
2,649d8d61d98de2a0b3c50197,False,Human_lineage,rn-iii-pilot-5a
3,649d8d61d98de2a0b3c50198,False,Human_lineage,rn-iii-pilot-5a
4,649d8d61d98de2a0b3c50199,False,Human_lineage,rn-iii-pilot-5a
5,649d8d61d98de2a0b3c5019a,False,Human_lineage,rn-iii-pilot-5a
6,649d8d61d98de2a0b3c5019b,False,Human_lineage,rn-iii-pilot-5a
7,649d8d61d98de2a0b3c5019c,False,Human_lineage,rn-iii-pilot-5a
8,649d8d61d98de2a0b3c5019d,False,Human_lineage,rn-iii-pilot-5a
9,649d8d61d98de2a0b3c5019f,False,Human_lineage,rn-iii-pilot-5a
