,sessionId,generation,trialType,trialIdx,parentSessionId,parentSession_isAI
0,649d8d61d98de2a0b3c50195,0,consent,0,,
1,649d8d61d98de2a0b3c50195,0,instruction,1,,
2,649d8d61d98de2a0b3c50195,0,practice,2,,
3,649d8d61d98de2a0b3c50195,0,instruction,3,,
4,649d8d61d98de2a0b3c50195,0,individual,4,,
5,649d8d61d98de2a0b3c50195,0,individual,5,,
6,649d8d61d98de2a0b3c50195,0,individual,6,,
7,649d8d61d98de2a0b3c50195,0,individual,7,,
8,649d8d61d98de2a0b3c50195,0,individual,8,,
9,649d8d61d98de2a0b3c50195,0,individual,9,,
10,649d8d61d98de2a0b3c50195,0,individual,10,,
11,649d8d61d98de2a0b3c50195,0,individual,11,,
12,649d8d61d98de2a0b3c50195,0,individual,12,,
13,649d8d61d98de2a0b3c50195,0,individual,13,,
14,649d8d61d98de2a0b3c50195,0,individual,14,,
15,649d8d61d98de2a0b3c50195,0,individual,15,,
16,649d8d61d98de2a0b3c50195,0,individual,16,,
17,649d8d61d98de2a0b3c50195,0,individual,17,,
18,649d8d61d98de2a0b3c50195,0,written_strategy,18,,
19,649d8d61d98de2a0b3c50195,0,post_survey,19,,
20,649d8d61d98de2a0b3c50195,0,debriefing,20,,
21,649d8d61d98de2a0b3c50196,0,consent,0,,
22,649d8d61d98de2a0b3c50196,0,instruction,1,,
23,649d8d61d98de2a0b3c50196,0,practice,2,,
24,649d8d61d98de2a0b3c50196,0,instruction,3,,
25,649d8d61d98de2a0b3c50196,0,individual,4,,
26,649d8d61d98de2a0b3c50196,0,individual,5,,
27,649d8d61d98de2a0b3c50196,0,individual,6,,
28,649d8d61d98de2a0b3c50196,0,individual,7,,
29,649d8d61d98de2a0b3c50196,0,individual,8,,
30,649d8d61d98de2a0b3c50196,0,individual,9,,
31,649d8d61d98de2a0b3c50196,0,individual,10,,
32,649d8d61d98de2a0b3c50196,0,individual,11,,
33,649d8d61d98de2a0b3c50196,0,individual,12,,
34,649d8d61d98de2a0b3c50196,0,individual,13,,
35,649d8d61d98de2a0b3c50196,0,individual,14,,
36,649d8d61d98de2a0b3c50196,0,individual,15,,
37,649d8d61d98de2a0b3c50196,0,individual,16,,
38,649d8d61d98de2a0b3c50196,0,individual,17,,
39,649d8d61d98de2a0b3c50196,0,written_strategy,18,,
40,649d8d61d98de2a0b3c50196,0,post_survey,19,,
41,649d8d61d98de2a0b3c50196,0,debriefing,20,,
42,649d8d61d98de2a0b3c50197,0,consent,0,,
43,649d8d61d98de2a0b3c50197,0,instruction,1,,
44,649d8d61d98de2a0b3c50197,0,practice,2,,
45,649d8d61d98de2a0b3c50197,0,instruction,3,,
46,649d8d61d98de2a0b3c50197,0,individual,4,,
47,649d8d61d98de2a0b3c50197,0,individual,5,,
48,649d8d61d98de2a0b3c50197,0,individual,6,,
49,649d8d61d98de2a0b3c50197,0,individual,7,,
50,649d8d61d98de2a0b3c50197,0,individual,8,,
51,649d8d61d98de2a0b3c50197,0,individual,9,,
52,649d8d61d98de2a0b3c50197,0,individual,10,,
53,649d8d61d98de2a0b3c50197,0,individual,11,,
54,649d8d61d98de2a0b3c50197,0,individual,12,,
55,649d8d61d98de2a0b3c50197,0,individual,13,,
56,649d8d61d98de2a0b3c50197,0,individual,14,,
57,649d8d61d98de2a0b3c50197,0,individual,15,,
58,649d8d61d98de2a0b3c50197,0,individual,16,,
59,649d8d61d98de2a0b3c50197,0,individual,17,,
60,649d8d61d98de2a0b3c50197,0,written_strategy,18,,
61,649d8d61d98de2a0b3c50197,0,post_survey,19,,
62,649d8d61d98de2a0b3c50197,0,debriefing,20,,
63,649d8d61d98de2a0b3c50198,0,consent,0,,
64,649d8d61d98de2a0b3c50198,0,instruction,1,,
65,649d8d61d98de2a0b3c50198,0,practice,2,,
66,649d8d61d98de2a0b3c50198,0,instruction,3,,
67,649d8d61d98de2a0b3c50198,0,individual,4,,
68,649d8d61d98de2a0b3c50198,0,individual,5,,
69,649d8d61d98de2a0b3c50198,0,individual,6,,
70,649d8d61d98de2a0b3c50198,0,individual,7,,
71,649d8d61d98de2a0b3c50198,0,individual,8,,
72,649d8d61d98de2a0b3c50198,0,individual,9,,
73,649d8d61d98de2a0b3c50198,0,individual,10,,
74,649d8d61d98de2a0b3c50198,0,individual,11,,
75,649d8d61d98de2a0b3c50198,0,individual,12,,
76,649d8d61d98de2a0b3c50198,0,individual,13,,
77,649d8d61d98de2a0b3c50198,0,individual,14,,
78,649d8d61d98de2a0b3c50198,0,individual,15,,
79,649d8d61d98de2a0b3c50198,0,individual,16,,
80,649d8d61d98de2a0b3c50198,0,individual,17,,
81,649d8d61d98de2a0b3c50198,0,written_strategy,18,,
82,649d8d61d98de2a0b3c50198,0,post_survey,19,,
83,649d8d61d98de2a0b3c50198,0,debriefing,20,,
84,649d8d61d98de2a0b3c50199,0,consent,0,,
85,649d8d61d98de2a0b3c50199,0,instruction,1,,
86,649d8d61d98de2a0b3c50199,0,practice,2,,
87,649d8d61d98de2a0b3c50199,0,instruction,3,,
88,649d8d61d98de2a0b3c50199,0,individual,4,,
89,649d8d61d98de2a0b3c50199,0,individual,5,,
90,649d8d61d98de2a0b3c50199,0,individual,6,,
91,649d8d61d98de2a0b3c50199,0,individual,7,,
