,sessionId,isAI,condition,ExperimentName
0,63e60e5c86a07638e1044c25,False,human_lineage,rn-iii-pilot-2A
1,63e60e5c86a07638e1044c26,False,human_lineage,rn-iii-pilot-2A
2,63e60e5c86a07638e1044c27,False,human_lineage,rn-iii-pilot-2A
3,63e60e5c86a07638e1044c28,False,human_lineage,rn-iii-pilot-2A
4,63e60e5c86a07638e1044c29,False,human_lineage,rn-iii-pilot-2A
5,63e60e5c86a07638e1044c2a,False,human_lineage,rn-iii-pilot-2A
6,63e60e5c86a07638e1044c2b,False,human_lineage,rn-iii-pilot-2A
7,63e60e5c86a07638e1044c2c,False,human_lineage,rn-iii-pilot-2A
8,63e60e5c86a07638e1044c2d,False,human_lineage,rn-iii-pilot-2A
9,63e60e5c86a07638e1044c2e,False,human_lineage,rn-iii-pilot-2A
